smiles,ec_reduction,dm_reduction,pf6_decomposition,polymerization
C1=CC(=C(C=C1)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.009474,1.03862,1.483597,0.735059
C1=CC(=C(C=C1)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.935122,1.168785,1.417237,0.706279
C1=CC(=C(C=C1)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.941346,1.100779,1.398913,0.627997
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,1.029725,1.057652,1.37517,0.59233
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.918052,1.033846,1.535828,0.750491
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.915592,1.212622,1.532358,0.683758
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.82503,1.214547,1.413791,0.61773
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,1.001129,1.221988,1.569214,0.728195
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.979738,1.142671,1.537946,0.71406
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.95521,1.09687,1.462302,0.685966
CC(=O)OC1=CC(=O)O1,0.365352,0.464301,1.243155,0.246483
C1CC(=O)OC1,0.565967,0.710118,1.284686,0.318279
COC(=O)C1=CC=CC=C1,0.649475,0.850838,1.280469,0.521227
COC(=O)OC,0.542849,0.544231,1.276289,0.306191
CC(=O)OC,0.515376,0.64325,1.151915,0.410182
C1CCC(=O)OC1,0.587198,0.704031,1.269471,0.488417
COC(=O)CN(C)C,0.485321,0.529449,1.231245,0.371345
CC1=CC=CC=C1C(=O)OC,0.71893,0.825989,1.305153,0.508295
OC1CCOC1,0.402898,0.631461,1.175107,0.302491
C1COCCO1,0.521356,0.685614,1.193833,0.457459
CC(C)OC(=O)C,0.574057,0.712842,1.228728,0.542131
COC(=O)C(C)C,0.536952,0.701273,1.295059,0.447014
CCC(=O)OC,0.567388,0.656659,1.253261,0.404214
CC(C)C(=O)OC,0.644526,0.796308,1.235495,0.357834
C1CCC(C)OO1,0.639558,0.869553,1.222581,0.54205
COC(=O)C1CC1,0.660537,0.63547,1.279519,0.492984
C1CCOC1,0.647098,0.755783,1.189216,0.41861
CCOC(=O)C,0.544188,0.601953,1.252774,0.373065
C=CC(=O)OC,0.570421,0.564747,1.256414,0.4398
CC(C)OC,0.585919,0.80715,1.291903,0.42353
C1CCC1,0.858461,0.912008,1.192769,0.540836
CC1=CC=CC=C1O,0.759526,0.845151,1.369929,0.510544
COC1=CC=C(C=C1)C(=O)OC,0.651331,0.668607,1.346861,0.447198
CC(C)(C)OC(=O)C,0.602164,0.796586,1.344566,0.488737
C1=CC=C(C=C1)C(F)(F)F,0.871816,1.049576,1.385925,0.69941
C1=CC=C(C=C1)C(F)(F)F,1.042398,1.085063,1.334872,0.676868
C1=CC=C(C=C1)C(F)(F)F,0.933109,1.057773,1.360675,0.740159
C1=CC=C(C=C1)C(F)(F)C(F)(F)F,0.910701,1.033438,1.258558,0.7254
C1=CC=C(C=C1)C(F)(F)C(F)(F)F,0.894832,0.992355,1.369797,0.82465
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.920224,1.100532,1.323171,0.647952
C1=CC=C(C=C1)C(=O)OC(F)(F)F,0.81611,0.871166,1.387463,0.601944
C1=CC(=C(C=C1)C(=O)OC)C(F)(F)F,0.739913,0.938917,1.367023,0.546276
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)F,0.871343,0.926271,1.42168,0.637007
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)F,0.944279,1.047217,1.447214,0.709326
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)F,0.959494,1.051372,1.448983,0.602846
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.883386,1.061876,1.446977,0.690651
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.952832,1.126485,1.496475,0.724325
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.953224,1.001227,1.453033,0.692796
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.889515,1.129996,1.576538,0.760938
C1=CC(=C(C=C1)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.939328,1.174536,1.461161,0.683146
C1=CC(=C(C=C1)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.91933,1.084877,1.405331,0.708521
C1=CC(=C(C=C1)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.958029,1.100152,1.475574,0.759532
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.997478,1.025755,1.297044,0.746716
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.881656,1.088762,1.395222,0.609901
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.977073,1.137958,1.454444,0.570448
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.922688,1.11959,1.409324,0.709168
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.949235,1.128965,1.505979,0.651347
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,1.009829,1.092074,1.498635,0.653337
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.927836,1.05576,1.491353,0.785585
CC(=O)OC1=CC(=O)O1,0.381405,0.38854,1.366144,0.291196
C1CC(=O)OC1,0.523518,0.692513,1.208489,0.488104
COC(=O)C1=CC=CC=C1,0.732852,0.779404,1.437459,0.502173
COC(=O)OC,0.552451,0.607613,1.336107,0.450968
CC(=O)OC,0.547044,0.58959,1.254564,0.354272
C1CCC(=O)OC1,0.688849,0.683234,1.240009,0.429444
COC(=O)CN(C)C,0.411704,0.502338,1.285151,0.311335
CC1=CC=CC=C1C(=O)OC,0.664141,0.850792,1.399538,0.577388
OC1CCOC1,0.52283,0.506142,1.166209,0.412203
C1COCCO1,0.541142,0.628326,1.27499,0.422884
CC(C)OC(=O)C,0.630526,0.807142,1.238319,0.481266
COC(=O)C(C)C,0.599183,0.699211,1.339793,0.451716
CCC(=O)OC,0.603567,0.716775,1.232822,0.369604
CC(C)C(=O)OC,0.544092,0.587464,1.36618,0.371164
C1CCC(C)OO1,0.632909,0.726727,1.278135,0.500881
COC(=O)C1CC1,0.619676,0.633996,1.242714,0.425693
C1CCOC1,0.653619,0.846329,1.242849,0.506092
CCOC(=O)C,0.609796,0.721823,1.260121,0.346722
C=CC(=O)OC,0.578716,0.609974,1.213439,0.427442
CC(C)OC,0.74752,0.78951,1.245962,0.569123
C1CCC1,0.78687,1.021141,1.256295,0.455586
CC1=CC=CC=C1O,0.769277,0.860409,1.407479,0.590236
COC1=CC=C(C=C1)C(=O)OC,0.63594,0.678078,1.341972,0.449867
CC(C)(C)OC(=O)C,0.609914,0.76421,1.373495,0.478014
C1=CC=C(C=C1)C(F)(F)F,0.866638,1.087627,1.385102,0.661835
C1=CC=C(C=C1)C(F)(F)F,0.919731,1.066131,1.286025,0.724738
C1=CC=C(C=C1)C(F)(F)F,0.920385,1.086373,1.280895,0.670451
C1=CC=C(C=C1)C(F)(F)C(F)(F)F,0.986119,1.081358,1.436717,0.680018
C1=CC=C(C=C1)C(F)(F)C(F)(F)F,0.961234,1.14663,1.27945,0.61196
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.844245,1.121736,1.291487,0.780806
C1=CC=C(C=C1)C(=O)OC(F)(F)F,0.741944,0.894907,1.451199,0.686163
C1=CC(=C(C=C1)C(=O)OC)C(F)(F)F,0.876392,0.949733,1.426975,0.613689
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)F,0.883435,0.943635,1.379361,0.637294
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)F,0.881475,1.00082,1.483284,0.716203
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)F,0.894404,1.097358,1.391381,0.658755
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.9008,0.983811,1.473318,0.693913
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.025672,1.131541,1.448791,0.792705
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.011052,1.129105,1.488676,0.652028
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.93139,1.154437,1.594229,0.777162
C1=CC(=C(C=C1)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.925558,1.044019,1.460772,0.611578
C1=CC(=C(C=C1)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.966158,1.09262,1.401438,0.620265
C1=CC(=C(C=C1)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.97568,1.073365,1.395231,0.556387
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.948624,1.188613,1.507803,0.677145
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.919889,1.123439,1.403808,0.71509
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.988304,1.161347,1.478262,0.689816
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.906101,1.058656,1.471946,0.718368
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.995679,1.059841,1.574634,0.686444
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.948932,1.062639,1.378788,0.744202
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.986842,1.085934,1.50335,0.725797
CC(=O)OC1=CC(=O)O1,0.371873,0.442766,1.332298,0.238948
C1CC(=O)OC1,0.57165,0.572689,1.262091,0.395022
COC(=O)C1=CC=CC=C1,0.618199,0.862036,1.292864,0.491946
COC(=O)OC,0.525374,0.65008,1.220229,0.375976
CC(=O)OC,0.566885,0.661916,1.240387,0.369807
C1CCC(=O)OC1,0.5468,0.680714,1.204668,0.274142
COC(=O)CN(C)C,0.500888,0.596116,1.106983,0.293693
CC1=CC=CC=C1C(=O)OC,0.747444,0.926835,1.341292,0.50504
OC1CCOC1,0.463883,0.612726,1.205002,0.297176
C1COCCO1,0.533139,0.593201,1.214714,0.476306
CC(C)OC(=O)C,0.623886,0.686274,1.255904,0.356714
COC(=O)C(C)C,0.640487,0.68189,1.254346,0.585979
CCC(=O)OC,0.59159,0.62556,1.229752,0.468986
CC(C)C(=O)OC,0.601996,0.613868,1.309331,0.392917
C1CCC(C)OO1,0.737637,0.79457,1.240399,0.524145
COC(=O)C1CC1,0.580045,0.705788,1.275307,0.369246
C1CCOC1,0.633877,0.81746,1.201561,0.449166
CCOC(=O)C,0.528896,0.68433,1.354196,0.358187
C=CC(=O)OC,0.559943,0.713153,1.235888,0.420743
CC(C)OC,0.632486,0.809862,1.221163,0.533298
C1CCC1,0.834201,1.020535,1.257002,0.559914
CC1=CC=CC=C1O,0.741329,0.823693,1.359915,0.541807
COC1=CC=C(C=C1)C(=O)OC,0.651286,0.805172,1.302096,0.549387
CC(C)(C)OC(=O)C,0.704796,0.728878,1.183907,0.427889
C1=CC=C(C=C1)C(F)(F)F,0.991282,1.064253,1.275305,0.667085
C1=CC=C(C=C1)C(F)(F)F,0.968463,1.092733,1.313323,0.673983
C1=CC=C(C=C1)C(F)(F)F,0.906844,1.019276,1.406039,0.676208
C1=CC=C(C=C1)C(F)(F)C(F)(F)F,1.010858,1.176066,1.400284,0.678419
C1=CC=C(C=C1)C(F)(F)C(F)(F)F,0.970187,1.09879,1.305183,0.716218
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.861576,1.117991,1.295849,0.662954
C1=CC=C(C=C1)C(=O)OC(F)(F)F,0.78432,0.872734,1.403428,0.562113
C1=CC(=C(C=C1)C(=O)OC)C(F)(F)F,0.816882,0.822016,1.38209,0.681009
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)F,0.794501,0.937307,1.445967,0.646442
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)F,0.907516,1.047941,1.480201,0.723923
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)F,0.910475,1.011419,1.482094,0.763432
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.93001,1.028411,1.532806,0.693981
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.841367,1.142371,1.473234,0.695473
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.966599,1.109525,1.535473,0.678226
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.975655,1.087023,1.536941,0.730768
C1=CC(=C(C=C1)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.903228,1.154299,1.426929,0.740403
C1=CC(=C(C=C1)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.968364,1.191909,1.413567,0.682534
C1=CC(=C(C=C1)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.949029,1.084841,1.493724,0.619184
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.897316,1.04661,1.472255,0.785531
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.944778,1.091559,1.45723,0.758094
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.903632,1.111918,1.53203,0.725055
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.959479,1.150052,1.348108,0.733894
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.917296,1.008468,1.52556,0.768683
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.943128,1.147644,1.580614,0.765746
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,1.031998,1.137106,1.503772,0.619902
CC(=O)OC1=CC(=O)O1,0.437697,0.427056,1.401132,0.292868
C1CC(=O)OC1,0.563132,0.668092,1.24095,0.481557
COC(=O)C1=CC=CC=C1,0.667824,0.81353,1.29247,0.466458
COC(=O)OC,0.484758,0.590796,1.249555,0.338271
CC(=O)OC,0.475128,0.623105,1.156329,0.426161
C1CCC(=O)OC1,0.592302,0.603529,1.242815,0.382602
COC(=O)CN(C)C,0.495019,0.617942,1.131371,0.349931
CC1=CC=CC=C1C(=O)OC,0.70848,0.857527,1.350912,0.503842
OC1CCOC1,0.457075,0.504181,1.2911,0.338202
C1COCCO1,0.652336,0.637834,1.17316,0.319386
CC(C)OC(=O)C,0.517575,0.619685,1.283851,0.46031
COC(=O)C(C)C,0.517272,0.730534,1.239217,0.433664
CCC(=O)OC,0.657263,0.707992,1.237643,0.367004
CC(C)C(=O)OC,0.488741,0.649824,1.252813,0.376965
C1CCC(C)OO1,0.637409,0.74441,1.251522,0.427594
COC(=O)C1CC1,0.585085,0.685247,1.19655,0.482111
C1CCOC1,0.661125,0.766905,1.253711,0.481009
CCOC(=O)C,0.624309,0.677506,1.220448,0.429639
C=CC(=O)OC,0.501546,0.64797,1.238209,0.387718
CC(C)OC,0.679179,0.694354,1.203084,0.488654
C1CCC1,0.782825,0.839673,1.291305,0.500315
CC1=CC=CC=C1O,0.780082,0.862711,1.31068,0.645343
COC1=CC=C(C=C1)C(=O)OC,0.583181,0.78525,1.402452,0.458862
CC(C)(C)OC(=O)C,0.708563,0.722279,1.304435,0.471296
C1=CC=C(C=C1)C(F)(F)F,0.919717,1.105937,1.364944,0.604897
C1=CC=C(C=C1)C(F)(F)F,0.991649,0.982272,1.376897,0.748659
C1=CC=C(C=C1)C(F)(F)F,0.871884,1.044856,1.269985,0.681578
C1=CC=C(C=C1)C(F)(F)C(F)(F)F,0.934598,1.138983,1.415884,0.769784
C1=CC=C(C=C1)C(F)(F)C(F)(F)F,0.921892,1.089539,1.266196,0.659706
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.968771,1.139386,1.257363,0.623273
C1=CC=C(C=C1)C(=O)OC(F)(F)F,0.768836,0.899687,1.333613,0.607062
C1=CC(=C(C=C1)C(=O)OC)C(F)(F)F,0.749625,0.888592,1.403086,0.584384
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)F,0.822698,0.965714,1.415853,0.618962
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)F,0.877044,1.103414,1.476511,0.653664
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)F,0.924832,1.006791,1.507121,0.68692
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.931276,1.099523,1.398908,0.643662
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.890304,1.107147,1.586626,0.811565
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.981903,1.125042,1.409947,0.672866
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.910611,1.068958,1.491593,0.676395
C1=CC(=C(C=C1)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.851035,1.137396,1.40009,0.711962
C1=CC(=C(C=C1)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,1.053704,1.054031,1.298226,0.6857
C1=CC(=C(C=C1)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,1.005048,1.197917,1.39225,0.724835
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.926734,1.094703,1.556957,0.624851
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.962687,1.123385,1.508017,0.704899
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.965403,1.080418,1.496726,0.68284
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.981079,1.081519,1.502125,0.698537
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,1.006303,1.09743,1.411348,0.763096
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.904713,1.067312,1.470217,0.768722
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.843216,1.256887,1.552803,0.711162
CC(=O)OC1=CC(=O)O1,0.447255,0.483496,1.318641,0.333923
C1CC(=O)OC1,0.584752,0.644997,1.228903,0.38924
COC(=O)C1=CC=CC=C1,0.689211,0.860488,1.359271,0.385439
COC(=O)OC,0.548141,0.602385,1.270085,0.353466
CC(=O)OC,0.60165,0.674637,1.192921,0.408511
C1CCC(=O)OC1,0.539597,0.607426,1.226939,0.46333
COC(=O)CN(C)C,0.526716,0.576573,1.261385,0.369989
CC1=CC=CC=C1C(=O)OC,0.684413,0.845556,1.380273,0.579155
OC1CCOC1,0.532474,0.579397,1.254872,0.390644
C1COCCO1,0.55595,0.596774,1.200427,0.357827
